accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG3311	0.0	11347.0	64.0	191500.0	0.0	0.00033420365535248044	0.0
COG1993	0.0	11347.0	62.0	191500.0	0.0	0.0003237597911227154	0.0
COG2501	0.0	11347.0	62.0	191500.0	0.0	0.0003237597911227154	0.0
COG4115	0.0	11347.0	61.0	191500.0	0.0	0.0003185378590078329	0.0
COG5460	0.0	11347.0	61.0	191500.0	0.0	0.0003185378590078329	0.0
COG4891	0.0	11347.0	59.0	191500.0	0.0	0.00030809399477806787	0.0
COG2388	0.0	11347.0	59.0	191500.0	0.0	0.00030809399477806787	0.0
COG1990	0.0	11347.0	58.0	191500.0	0.0	0.0003028720626631854	0.0
COG3461	0.0	11347.0	51.0	191500.0	0.0	0.00026631853785900785	0.0
COG4997	0.0	11347.0	49.0	191500.0	0.0	0.00025587467362924284	0.0
COG4013	0.0	11347.0	49.0	191500.0	0.0	0.00025587467362924284	0.0
COG4443	0.0	11347.0	47.0	191500.0	0.0	0.0002454308093994778	0.0
COG1433	0.0	11347.0	45.0	191500.0	0.0	0.0002349869451697128	0.0
COG2361	0.0	11347.0	41.0	191500.0	0.0	0.00021409921671018277	0.0
COG0278	0.0	11347.0	36.0	191500.0	0.0	0.00018798955613577023	0.0
COG3586	0.0	11347.0	32.0	191500.0	0.0	0.00016710182767624022	0.0
COG5470	0.0	11347.0	32.0	191500.0	0.0	0.00016710182767624022	0.0
COG1553	0.0	11347.0	29.0	191500.0	0.0	0.0001514360313315927	0.0
COG3526	0.0	11347.0	28.0	191500.0	0.0	0.00014621409921671019	0.0
COG0099	0.0	11347.0	28.0	191500.0	0.0	0.00014621409921671019	0.0
COG2044	0.0	11347.0	28.0	191500.0	0.0	0.00014621409921671019	0.0
COG0093	0.0	11347.0	27.0	191500.0	0.0	0.00014099216710182768	0.0
COG2963	0.0	11347.0	26.0	191500.0	0.0	0.00013577023498694517	0.0
COG2522	0.0	11347.0	26.0	191500.0	0.0	0.00013577023498694517	0.0
COG2163	0.0	11347.0	26.0	191500.0	0.0	0.00013577023498694517	0.0
COG2088	0.0	11347.0	22.0	191500.0	0.0	0.00011488250652741515	0.0
COG3364	0.0	11347.0	22.0	191500.0	0.0	0.00011488250652741515	0.0
COG2098	0.0	11347.0	22.0	191500.0	0.0	0.00011488250652741515	0.0
COG4829	0.0	11347.0	22.0	191500.0	0.0	0.00011488250652741515	0.0
COG4003	0.0	11347.0	20.0	191500.0	0.0	0.00010443864229765013	0.0
COG2359	0.0	11347.0	20.0	191500.0	0.0	0.00010443864229765013	0.0
COG2018	0.0	11347.0	19.0	191500.0	0.0	9.921671018276762e-05	0.0
COG0139	0.0	11347.0	17.0	191500.0	0.0	8.87728459530026e-05	0.0
COG1733	0.0	11347.0	16.0	191500.0	0.0	8.355091383812011e-05	0.0
COG4551	0.0	11347.0	16.0	191500.0	0.0	8.355091383812011e-05	0.0
COG1382	0.0	11347.0	15.0	191500.0	0.0	7.83289817232376e-05	0.0
COG4877	0.0	11347.0	15.0	191500.0	0.0	7.83289817232376e-05	0.0
COG3077	0.0	11347.0	15.0	191500.0	0.0	7.83289817232376e-05	0.0
COG1654	0.0	11347.0	14.0	191500.0	0.0	7.310704960835509e-05	0.0
COG2924	0.0	11347.0	13.0	191500.0	0.0	6.788511749347258e-05	0.0
COG2033	0.0	11347.0	13.0	191500.0	0.0	6.788511749347258e-05	0.0
COG3592	0.0	11347.0	13.0	191500.0	0.0	6.788511749347258e-05	0.0
COG3189	0.0	11347.0	13.0	191500.0	0.0	6.788511749347258e-05	0.0
COG2920	0.0	11347.0	12.0	191500.0	0.0	6.266318537859008e-05	0.0
COG3373	0.0	11347.0	12.0	191500.0	0.0	6.266318537859008e-05	0.0
COG1846	0.0	11347.0	12.0	191500.0	0.0	6.266318537859008e-05	0.0
COG1923	0.0	11347.0	10.0	191500.0	0.0	5.2219321148825065e-05	0.0
COG0784	0.0	11347.0	10.0	191500.0	0.0	5.2219321148825065e-05	0.0
COG3549	0.0	11347.0	10.0	191500.0	0.0	5.2219321148825065e-05	0.0
COG1551	0.0	11347.0	9.0	191500.0	0.0	4.6997389033942557e-05	0.0
COG3113	0.0	11347.0	9.0	191500.0	0.0	4.6997389033942557e-05	0.0
COG4049	0.0	11347.0	9.0	191500.0	0.0	4.6997389033942557e-05	0.0
COG3848	0.0	11347.0	9.0	191500.0	0.0	4.6997389033942557e-05	0.0
COG5216	0.0	11347.0	9.0	191500.0	0.0	4.6997389033942557e-05	0.0
