accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG3794	0.0	11347	58.0	455582	0.0	0.00012730968299888934	0.0
COG2093	0.0	11347	58.0	455582	0.0	0.00012730968299888934	0.0
COG3937	0.0	11347	57.0	455582	0.0	0.00012511468846442572	0.0
COG2914	0.0	11347	57.0	455582	0.0	0.00012511468846442572	0.0
COG5453	0.0	11347	56.0	455582	0.0	0.0001229196939299621	0.0
COG0227	0.0	11347	55.0	455582	0.0	0.00012072469939549851	0.0
COG4539	0.0	11347	54.0	455582	0.0	0.0001185297048610349	0.0
COG0234	0.0	11347	54.0	455582	0.0	0.0001185297048610349	0.0
COG2868	0.0	11347	53.0	455582	0.0	0.00011633471032657129	0.0
COG4456	0.0	11347	53.0	455582	0.0	0.00011633471032657129	0.0
COG5475	0.0	11347	51.0	455582	0.0	0.00011194472125764407	0.0
COG4115	0.0	11347	50.0	455582	0.0	0.00010974972672318046	0.0
COG0268	0.0	11347	49.0	455582	0.0	0.00010755473218871685	0.0
COG3529	0.0	11347	49.0	455582	0.0	0.00010755473218871685	0.0
COG1970	0.0	11347	48.0	455582	0.0	0.00010535973765425324	0.0
COG2127	0.0	11347	47.0	455582	0.0	0.00010316474311978964	0.0
COG5007	0.0	11347	47.0	455582	0.0	0.00010316474311978964	0.0
COG2331	0.0	11347	47.0	455582	0.0	0.00010316474311978964	0.0
COG0278	0.0	11347	45.0	455582	0.0	9.877475405086241e-05	0.0
COG5455	0.0	11347	45.0	455582	0.0	9.877475405086241e-05	0.0
COG3831	0.0	11347	44.0	455582	0.0	9.65797595163988e-05	0.0
COG2747	0.0	11347	44.0	455582	0.0	9.65797595163988e-05	0.0
COG3062	0.0	11347	42.0	455582	0.0	9.218977044747159e-05	0.0
COG2359	0.0	11347	41.0	455582	0.0	8.999477591300798e-05	0.0
COG3080	0.0	11347	41.0	455582	0.0	8.999477591300798e-05	0.0
COG2879	0.0	11347	37.0	455582	0.0	8.121479777515354e-05	0.0
COG0838	0.0	11347	37.0	455582	0.0	8.121479777515354e-05	0.0
COG3245	0.0	11347	37.0	455582	0.0	8.121479777515354e-05	0.0
